20260703T,44.84,44.84,44.84,44.84,0
20260706T,46.45,46.45,46.45,46.45,0
20260707T,39.97,39.97,39.97,39.97,0
20260708T,36.47,36.47,36.47,36.47,0
20260709T,42.77,42.77,42.77,42.77,0
20260710T,41.88,41.88,41.88,41.88,0
20260713T,29.66,29.66,29.66,29.66,0
20260714T,37.47,37.47,37.47,37.47,0
20260715T,40.91,40.91,40.91,40.91,0
20260716T,28.75,28.75,28.75,28.75,0
20260717T,39.84,39.84,39.84,39.84,0
20260720T,41.51,41.51,41.51,41.51,0
20260721T,48.02,48.02,48.02,48.02,0
20260722T,54.23,54.23,54.23,54.23,0
20260723T,43.44,43.44,43.44,43.44,0
20260724T,44.87,44.87,44.87,44.87,0
20260727T,49.55,49.55,49.55,49.55,0
20260728T,43.91,43.91,43.91,43.91,0
20260729T,46.86,46.86,46.86,46.86,0
20260730T,57.14,57.14,57.14,57.14,0
20260731T,47.09,47.09,47.09,47.09,0
20260803T,48.24,48.24,48.24,48.24,0
20260804T,51.2,51.2,51.2,51.2,0
20260805T,63.66,63.66,63.66,63.66,0
20260806T,65.41,65.41,65.41,65.41,0
20260807T,73.91,73.91,73.91,73.91,0
20260810T,70.9,70.9,70.9,70.9,0
20260811T,72.81,72.81,72.81,72.81,0
20260812T,76.13,76.13,76.13,76.13,0
20260813T,71.55,71.55,71.55,71.55,0
20260814T,73.31,73.31,73.31,73.31,0
20260817T,75.83,75.83,75.83,75.83,0
20260818T,71.15,71.15,71.15,71.15,0
20260819T,79.09,79.09,79.09,79.09,0
20260820T,81.06,81.06,81.06,81.06,0
20260821T,85.09,85.09,85.09,85.09,0
20260824T,83.2,83.2,83.2,83.2,0
20260825T,82.79,82.79,82.79,82.79,0
