20260703T,45.64,45.64,45.64,45.64,0
20260706T,60.06,60.06,60.06,60.06,0
20260707T,45.3,45.3,45.3,45.3,0
20260708T,42.46,42.46,42.46,42.46,0
20260709T,59.43,59.43,59.43,59.43,0
20260710T,71.13,71.13,71.13,71.13,0
20260713T,43.03,43.03,43.03,43.03,0
20260714T,52.63,52.63,52.63,52.63,0
20260715T,58.52,58.52,58.52,58.52,0
20260716T,43.08,43.08,43.08,43.08,0
20260717T,32.4,32.4,32.4,32.4,0
20260720T,34.96,34.96,34.96,34.96,0
20260721T,53.42,53.42,53.42,53.42,0
20260722T,47.88,47.88,47.88,47.88,0
20260723T,30.28,30.28,30.28,30.28,0
20260724T,37.93,37.93,37.93,37.93,0
20260727T,38.32,38.32,38.32,38.32,0
20260728T,42.26,42.26,42.26,42.26,0
20260729T,25.09,25.09,25.09,25.09,0
20260730T,46.67,46.67,46.67,46.67,0
20260731T,56.26,56.26,56.26,56.26,0
20260803T,63.19,63.19,63.19,63.19,0
20260804T,64.2,64.2,64.2,64.2,0
20260805T,58.5,58.5,58.5,58.5,0
20260806T,53.98,53.98,53.98,53.98,0
20260807T,59.92,59.92,59.92,59.92,0
20260810T,62.1,62.1,62.1,62.1,0
20260811T,53.62,53.62,53.62,53.62,0
20260812T,60.01,60.01,60.01,60.01,0
20260813T,69.91,69.91,69.91,69.91,0
20260814T,60.91,60.91,60.91,60.91,0
20260817T,49.93,49.93,49.93,49.93,0
20260818T,42.67,42.67,42.67,42.67,0
20260819T,42.55,42.55,42.55,42.55,0
